Accession,Genus,Species,Photo
81130A,Dioon,angustifolium,10.29607894
81130B,Dioon,angustifolium,10.01792945
81130C,Dioon,angustifolium,11.1280249
81130E,Dioon,angustifolium,9.344991759
81130F,Dioon,angustifolium,9.956694817
20011257A,Dioon,argenteum,9.222224809
20011257B,Dioon,argenteum,10.63272843
20011257C,Dioon,argenteum,12.99764024
20011257D,Dioon,argenteum,12.12693844
20011257H,Dioon,argenteum,11.80690551
20011255E,Dioon,califanoi,5.000244557
20011255E,Dioon,califanoi,4.052392885
20011255F,Dioon,califanoi,5.859736254
931175A,Dioon,califanoi,7.272898956
931177A,Dioon,califanoi,7.591023027
20040522A,Dioon,caputoi,8.252730743
20040522B,Dioon,caputoi,6.201410616
20040522D,Dioon,caputoi,6.335462522
20040522F,Dioon,caputoi,6.244119753
20011093A,Dioon,edule,9.54667853
931072A,Dioon,edule,8.688533953
931072D,Dioon,edule,7.52773933
931072E,Dioon,edule,9.156825723
NO_TAG1,Dioon,edule,9.16434501
NO_TAG2,Dioon,edule,9.175465149
20040504D,Dioon,holmgrenii,6.362132739
20040504E,Dioon,holmgrenii,6.900186673
20040504F,Dioon,holmgrenii,5.773119916
20040504G,Dioon,holmgrenii,7.824191509
20040504H,Dioon,holmgrenii,7.466991824
20040505M,Dioon,holmgrenii,7.091872668
20030872A,Dioon,mejae,7.81734021
20030873A,Dioon,mejae,7.371106023
20030881C,Dioon,mejae,9.09190707
20030882B,Dioon,mejae,7.171049756
20011257E,Dioon,merolae,9.614009273
20040507A,Dioon,merolae,10.6273326
20040507D,Dioon,merolae,12.24658456
20040507G,Dioon,merolae,9.962822195
20040511A,Dioon,merolae,10.21966612
200112252F,Dioon,planifolium,9.812992999
20011251G,Dioon,planifolium,9.079609108
20011251H,Dioon,planifolium,10.23659646
20011251K,Dioon,planifolium,8.445003814
20031238D,Dioon,planifolium,10.70106352
20011262E,Dioon,purpusii,7.173191137
20031238A,Dioon,purpusii,7.332226008
20031238C,Dioon,purpusii,8.299921862
20031238E,Dioon,purpusii,6.02013283
20031238F,Dioon,purpusii,7.900036925
93946R,Dioon,rzedowski,5.732550873
93946S,Dioon,rzedowski,6.242413175
93946U,Dioon,rzedowski,5.439810138
93946X,Dioon,rzedowski,7.153182837
NOTAG5,Dioon,rzedowski,7.267710664
20040468B,Dioon,sonorense,9.619727384
20040468C,Dioon,sonorense,9.638004835
20040468D,Dioon,sonorense,8.28506271
20040472A,Dioon,sonorense,9.533543816
20040472H,Dioon,sonorense,11.65791406
200472E,Dioon,sonorense,8.438012356
93945L,Dioon,spinulosum,8.028280195
93945M,Dioon,spinulosum,9.121484815
93945P,Dioon,spinulosum,6.835069668
93945Q,Dioon,spinulosum,8.860245384
20040487C,Dioon,stevensonii,8.697654339
20040487D,Dioon,stevensonii,8.253048878
20040488C,Dioon,stevensonii,6.905598247
20040488D,Dioon,stevensonii,7.084982083
81127B,Dioon,tomasellii,10.07088341
8620F,Dioon,tomasellii,13.70658769
98620K,Dioon,tomasellii,12.27121036
98620L,Dioon,tomasellii,12.01622715
