Date,Person,Licor Unit,Accession,Genus,Species,Photo,Cond,Ci,Ci_Pa,Ci/Ca,Tleaf,Tair,VpdL,RH_S,PARi,PARo
5/18/2018,CK,Polistichum,20020073G,Ceratozamia,chimalapensis,5.940044245,0.052677508,204.4397169,20.74013142,0.510841652,29.26814429,28.66159852,1.139808236,74.66857529,1300,18.68964783
5/18/2018,AS,Botrychium,93920B,Ceratozamia,decumbens,7.749696798,0.088169692,250.3652508,25.3967766,0.62575854,29.31218719,28.72123528,1.012794286,77.88555145,1300,187.8820343
5/18/2018,AS,Botrychium,93920D,Ceratozamia,decumbens,6.258947061,0.051630387,197.4996954,20.0290581,0.493657341,28.90520477,28.52153397,1.149521888,72.86346436,1300,9.874221802
5/18/2018,ZZ,Thelypteris,93920E,Ceratozamia,decumbens,6.488645996,0.050892786,187.5800365,19.03160271,0.468269401,29.26071739,28.50833321,1.22703458,73.06185913,1300,10.9820118
5/18/2018,AS,Botrychium,93920G,Ceratozamia,decumbens,6.450034017,0.053651151,199.3782086,20.21966132,0.497840579,28.91447639,28.52906799,1.155043636,72.74539185,1300,10.1402235
5/18/2018,AS,Botrychium,93920Q,Ceratozamia,decumbens,6.354283603,0.067892005,242.0011505,24.5480434,0.604750405,28.94558334,28.59225655,1.023414725,76.01383972,1300,179.3642578
5/18/2018,ZZ,Thelypteris,93920R,Ceratozamia,decumbens,5.711627011,0.056949248,231.1624031,23.45299648,0.577905082,28.4289093,28.46153069,1.093894573,71.74874115,1300,23.16717529
5/22/2018,ZZ,Thelypteris,8339D,Ceratozamia,hildae,5.358517952,0.060161053,240.6635146,24.50525044,0.601562842,29.83202419,28.60166149,1.451331176,70.39480896,1300,4.904405431
5/21/2018,CK,Martin,88339E,Ceratozamia,hildae,5.082448637,0.046854903,197.0213275,20.05188523,0.492577999,29.63745842,28.54597549,1.164410436,76.72915573,1300,0.874410928
5/21/2018,CK,Martin,88339F,Ceratozamia,hildae,6.851841985,0.063100875,210.171148,21.38980886,0.525006992,29.73488579,28.61822109,1.142235974,77.53897018,1300,0.888485869
5/21/2018,CC,Martin,931185A,Ceratozamia,hildae,6.920821273,0.089366858,251.3257171,25.59586395,0.628932008,29.71016083,28.42262821,1.588115918,66.82547684,1300,0.845885331
5/21/2018,CC,Martin,93118XXX,Ceratozamia,hildae,5.447757763,0.05962558,235.7559618,24.00922726,0.589504602,29.58661518,28.34940128,1.627740195,65.28732224,1300,0.884447225
5/18/2018,CK,Polistichum,20010187A,Ceratozamia,microstrobila,7.812629813,0.059721363,181.1818991,18.37757452,0.453153127,28.98937798,28.51173782,1.176909064,72.70361328,1300,39.05888748
5/18/2018,CK,Polistichum,20010191A,Ceratozamia,microstrobila,7.893821575,0.062422704,188.0627145,19.07371042,0.470245904,28.98810196,28.49251938,1.195709524,72.2952652,1300,86.22990417
5/18/2018,CC,Martin,20010225A,Ceratozamia,miqueliana,5.566444157,0.063733964,236.1535871,23.96304574,0.590545141,28.9062531,28.38634801,2.093970822,49.07974005,1300,5.440938434
5/18/2018,CC,Martin,20010226A,Ceratozamia,miqueliana,4.151622106,0.04011332,214.6086891,21.77426549,0.536706108,28.75503659,28.25550961,2.19371166,45.94014311,1300,5.445833651
5/18/2018,CC,Martin,20010227A,Ceratozamia,miqueliana,3.440722599,0.033253158,212.3299156,21.54253418,0.531063112,28.74934888,28.25992322,2.230554362,44.93557501,1300,5.442845935
5/18/2018,CK,Polistichum,20010235A,Ceratozamia,miqueliana,4.346491907,0.039186186,203.3596534,20.62765216,0.508617624,28.85133386,28.39261651,1.675324952,59.47421026,1300,26.81482336
5/25/2018,AS,Botrychium,200100163A,Ceratozamia,norstogii,7.673971064,0.085313289,241.7838633,24.57917,0.607654611,29.426682,28.73127429,1.246501507,72.75845623,1300,21.03308295
5/22/2018,ZZ,Thelypteris,20120247A,Ceratozamia,norstogii,7.699449859,0.089660914,248.2731126,25.26620449,0.621782582,29.50559855,28.89120833,1.541347695,65.02377033,1300,18.14042757
5/22/2018,ZZ,Thelypteris,93795A,Ceratozamia,norstogii,7.37737935,0.077361203,230.3429378,23.44299494,0.577345491,29.95271254,29.12312476,1.637161354,64.47074986,1300,17.93028067
